species;substances;substancess_reference;family;family_reference
Lecanora gisleri;fumarprotocetraric acid;italic;Lecanoraceae;gbif
Lecanora gisleriana;usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora gisleriana;usnic acid;lias;Lecanoraceae;gbif
Lecanora glabrata;atranorin;italic;Lecanoraceae;gbif
Lecanora glabrata;atranorin;lias;Lecanoraceae;gbif
Lecanora gongensiana;2'-o-methylperlatolic acid, atranorin, chloroatranorin, unknown/unidentified fatty acid(s);lias;Lecanoraceae;gbif
Lecanora griseofulva;(+)-dechlorogriseofulvin, (+)-griseofulvin, alternariol, atranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora guatemalensis;2,4-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora guderleyii;6-o-methylarthothelin, arthothelin, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora gyrophorica;gyrophoric acid, leucotylin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora hafelliana;atranorin, hafellic acid, stictic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora hagenii;2,7-dichlorolichexanthone, aotearon, vinetorin (5-chloro-3-o-methylnorlichexanthone);lias;Lecanoraceae;gbif
Lecanora handelii;usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora handelii;atranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora helva;2'-o-methylisohyperlatolic acid, 2'-o-methylperlatolic acid, 2'-o-methylsuperlatolic acid, arthothelin, atranorin, chloroatranorin, isousnic acid;lias;Lecanoraceae;gbif
Lecanora hensseniae;atranorin, caperatic acid, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora horiza;atranorin;italic;Lecanoraceae;gbif
Lecanora horiza;atranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Lecanoraceae;gbif
Lecanora hybocarpa;atranorin, chloroatranorin, roccellic acid;lias;Lecanoraceae;gbif
Lecanora hyperpolytropa;rangiformic acid, usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora hypocrocea;2,4-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora hypocrocina;atranorin, boryquinone, chloroatranorin, constipatic acid, protoconstipatic acid, skyrin (rhodophyscin);lias;Lecanoraceae;gbif
Lecanora hypocrocinoides;22-hydroxyhopane-6-one (zeorinone), atranorin, boryquinone, chloroatranorin, constipatic acid, hybocarpone, protoconstipatic acid, unknown/unidentified compound(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora hypoptoides;paraensic acid;italic;Lecanoraceae;gbif
Lecanora hypoptoides;paraensic acid c, paraensic acid d;lias;Lecanoraceae;gbif
Lecanora impudens;atranorin, zeorin;italic;Lecanoraceae;gbif
Lecanora impudens;atranorin;lias;Lecanoraceae;gbif
Lecanora insignis;atranorin, pannarin;italic;Lecanoraceae;gbif
Lecanora insignis;atranorin, pannarin, roccellic acid;lias;Lecanoraceae;gbif
Lecanora interjecta;2,5-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora intricata;usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora intricata;usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora intricatoides;probably usnic acid, usnic;italic;Lecanoraceae;gbif
Lecanora intumescens;0-demethylpsoromic acid, atranorin, psoromic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora intumescens;atranorin, norstictic acid, psoromic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora iseana;2'-o-methylperlatolic acid, 2'-o-methylstenosporic acid, atranorin, chloroatranorin, unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Lecanora jamesii;atranorin, usnic;italic;Lecanoraceae;gbif
Lecanora jamesii;2-o-methylsulphurellin, atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora juniperina;unknown/unidentified xanthone(s);lias;Lecanoraceae;gbif
Lecanora kalbiana;22-hydroxyhopane-6-one (zeorinone), atranorin, chloroatranorin, chodatin, demethylchodatin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora kansriae;atranorin, chloroatranorin, stictic acid;lias;Lecanoraceae;gbif
Lecanora kenyana;atranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora kofae;roccellic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora laatokkaensis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified fatty acid(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora labiosa;2'-o-methylperlatolic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora laevis;atranorin;lias;Lecanoraceae;gbif
Lecanora latens;usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora latro;isousnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora latro;isousnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora laxa;usnic, zeorin;italic;Lecanoraceae;gbif
Lecanora laxa;isousnic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora lecideoides;atranorin;italic;Lecanoraceae;gbif
Lecanora legalloana;atranorin, rugulosin, skyrin (rhodophyscin);lias;Lecanoraceae;gbif
Lecanora leproplaca;3-o-methylthiophanic acid, atranorin, chloroatranorin, chodatin, demethylchodatin, thiophanic acid, unknown/unidentified xanthone(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora leprosa;atranorin, chloroatranorin, chlorolecideoidin, gangaleoidin, leoidin, norgangaleoidin (californin);lias;Lecanoraceae;gbif
Lecanora leptacina;0-demethylpsoromic acid, atranorin;italic;Lecanoraceae;gbif
Lecanora leptacina;2'-o-demethylpsoromic acid, atranorin, psoromic acid;lias;Lecanoraceae;gbif
Lecanora leptacinella;alectorialic acid;italic;Lecanoraceae;gbif
Lecanora leptacinella;alectorialic acid, barbatolic acid;lias;Lecanoraceae;gbif
Lecanora lichexanthona;atranorin, constipatic acid, hybocarpone, lichexanthone, norlichexanthone;lias;Lecanoraceae;gbif
Lecanora lividocarnea;2'-o-methylperlatolic acid, 2'-o-methylstenosporic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora lividocinerea;5-chloro-20-o-methylanziaic acid, 5-dichloro-20-o-methylanziaic acid, 5-dichloro-20-o-methylnorhyperlatolic acid, 5-dichloro-20-o-methylnorstenosporic acid, atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora lividocinerea;3,5-dichloro-2'-o-methylanziaic acid, 3,5-dichloro-2'-o-methylperlatolic acid, 3,5-dichloro-2'-o-methylstenosporic acid, 5-chloro-2'-o-methylanziaic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora loekoesii;atranorin, norstictic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora lojkaeana;roccellic acid, sordidone;lias;Lecanoraceae;gbif
Lecanora louisianae;2,4-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora lugubris;2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5,7-trichlorolichexanthone, 2,5-dichloronorlichexanthone, 2,7-dichloronorlichexanthone, 3-o-methylasemone, 4,5,7-trichloronorlichexanthone (asemone), 5,7-dichloro-3-o-methylnorlichexanthone, 5,7-dichloronorlichexanthone, 7-chloronorlichexanthone, arthothelin, atranorin, chloroatranorin, isoarthothelin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora luteomarginata;arthothelin, atranorin, chloroatranorin, thiophanic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Lecanoraceae;gbif
Lecanora magnussoniana;usnic;italic;Lecanoraceae;gbif
Lecanora margacea;usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora margaritula;3-o-methylthiophanic acid, arthothelin, atranorin, chloroatranorin, connorstictic acid, norstictic acid, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora margarodes;2,4-dichloronorlichexanthone, 2,7-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 5,7-dichloronorlichexanthone, 7-chloronorlichexanthone, arthothelin, atranorin, chloroatranorin, isoarthothelin, pannarin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora marginata;atranorin, usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora marginata;atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora maxima;16β-acetoxyhopane-6α,22-diol, 6α,16β-diacetoxyhopane-22-ol, 6α-acetoxyhopane-16β,22-diol, hopane-6α,16β,22-triol, isousnic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora mayrhoferi;2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5,7-trichlorolichexanthone, 2,7-dichlorolichexanthone, 3-o-methylasemone, 4,5,7-trichloronorlichexanthone (asemone), 5,7-dichloro-3-o-methylnorlichexanthone, 5,7-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, isoarthothelin;lias;Lecanoraceae;gbif
Lecanora mazatzalensis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora melacarpella;atranorin, chloroatranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora melaena;usnic acid;lias;Lecanoraceae;gbif
Lecanora melaleuca;atranorin, chloroatranorin, dehydroconstipatic acid, lichesterinic acid, protodehydroconstipatic acid, protolichesterinic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora melanommata;atranorin, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora mellea;hypoprotocetraric acid, isousnic acid, placodiolic acid, rangiformic acid, unknown/unidentified pigment(s);lias;Lecanoraceae;gbif
Lecanora meridionalis;atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora meridionalis;atranorin, chloroatranorin, gangaleoidin, roccellic acid;lias;Lecanoraceae;gbif
Lecanora microphaea;atranorin, chloroatranorin, planaic acid;lias;Lecanoraceae;gbif
Lecanora mikuraensis;2'-o-methylperlatolic acid, 2,4-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora mobergiana;atranorin, dissectic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora mugambii;alectoronic acid, atranorin, chloroatranorin, physodic acid, unknown/unidentified compound(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora mughicola;isousnic acid;lias;Lecanoraceae;gbif
Lecanora mugosphagneti;atranorin;italic;Lecanoraceae;gbif
Lecanora munzii;gyrophoric acid;lias;Lecanoraceae;gbif
Lecanora muralis;leucotylin, murolic acid, neodihydromurolic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora nashii;murolic acid, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora neodegelii;isousnic acid, roccellic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora neonashii;atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora neoqueenslandica;2,4-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, pannarin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora neosonorensis;2'-o-methylperlatolic acid, 2'-o-methylstenosporic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora nipponica;atranorin, chloroatranorin, isoplacodiolic acid, placodiolic acid;lias;Lecanoraceae;gbif
Lecanora nohedensis;constictic acid, cryptostictic acid, stictic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora norvegica;atranorin;italic;Lecanoraceae;gbif
Lecanora notatica;4-o-methylhypoprotocetraric acid, atranorin, chloroatranorin, confluentic acid, notatic acid, subnotatic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora novaehollandiae;argopsin, atranorin, chloroatranorin, dechloropannarin, methyl virensate, pannarin, unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Lecanora novomexicana;conpsoromic acid, hypopsoromic acid, lecanoric acid, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora ochroidea;atranorin;italic;Lecanoraceae;gbif
Lecanora opiniconensis;placodiolic acid, pseudoplacodiolic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora orae-frigidae;thiophanic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora orbicularis;usnic;italic;Lecanoraceae;gbif
Lecanora oreinoides;atranorin, chloroatranorin, confluentic acid;lias;Lecanoraceae;gbif
Lecanora orientoafricana;atranorin, gangaleoidin;lias;Lecanoraceae;gbif
Lecanora orizabana;atranorin, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora orosthea;skyrin (rhodophyscin), usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora pachysoma;arthothelin, thiophanic acid, unknown/unidentified xanthone(s);lias;Lecanoraceae;gbif
Lecanora pacifica;atranorin, chloroatranorin, nephrosteranic acid, roccellic acid;lias;Lecanoraceae;gbif
Lecanora pallidochlorina;atranorin, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora pangerangoensis;2'-o-methylhyperlatolic acid, 2'-o-methylisohyperlatolic acid, 2'-o-methylperlatolic acid, 2'-o-methylsuperlatolic acid, arthothelin, atranorin, chloroatranorin, isoarthothelin, thiophanic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora pannonica;atranorin, roccellic acid;italic;Lecanoraceae;gbif
Lecanora pannonica;atranorin, chloroatranorin, gangaleoidin, norgangaleoidin (californin), roccellic acid;lias;Lecanoraceae;gbif
Lecanora paramerae;atranorin, chloroatranorin, o-methylperlatolic acid;italic;Lecanoraceae;gbif
Lecanora paramerae;2'-o-demethylpsoromic acid, 2'-o-methylperlatolic acid, atranorin, chloroatranorin, psoromic acid;lias;Lecanoraceae;gbif
Lecanora perconcinna;arthothelin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora perconfusa;4,5-dichloronorlichexanthone, 4-chloronorlichexanthone, arthothelin, norlichexanthone, thiophanic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora perithoides;5,7-dichloro-3-o-methylnorlichexanthone, 5-chlorolichexanthone, atranorin;lias;Lecanoraceae;gbif
Lecanora phaedrophthalma;placodiolic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora phaedrophthalma;placodiolic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora phaeocardia;atranorin, chloroatranorin, unknown/unidentified fatty acid(s), unknown/unidentified secalonic acid derivate(s);lias;Lecanoraceae;gbif
Lecanora phaeostigma;2-methylene-3-carboxy-18-hydroxynonadecanoic acid;italic;Lecanoraceae;gbif
Lecanora phaeostigma;norstictic acid;lias;Lecanoraceae;gbif
Lecanora phryganitis;arthothelin, thiophanic acid, unknown/unidentified compound(s);lias;Teloschistaceae;gbif
Lecanora physcielloides;usnic acid;lias;Lecanoraceae;gbif
Lecanora pinguis;arthothelin, thiophanic acid, unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Lecanora placodiolica;isousnic acid, placodiolic acid, pseudoplacodiolic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora planaica;atranorin, chloroatranorin, hyperplanaic acid, isohyperplanaic acid, planaic acid, superplanaic acid;lias;Lecanoraceae;gbif
Lecanora plumosa;2'-o-methylisohyperlatolic acid, 2'-o-methylperlatolic acid, 2'-o-methylsuperlatolic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora polytropa;rangiformic acid, usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora polytropa;rangiformic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora polytropopsis;usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora populicola;2,5-dichlorolichexanthone;lias;Lecanoraceae;gbif
Lecanora praepostera;atranorin, norstictic acid;italic;Lecanoraceae;gbif
Lecanora praepostera;atranorin, norstictic acid;lias;Lecanoraceae;gbif
Lecanora praesistens;atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora pringlei;alectorialic acid, atranorin, psoromic acid;lias;Lecanoraceae;gbif
Lecanora prosecha;4,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, skyrin (rhodophyscin);lias;Lecanoraceae;gbif
Lecanora pruinosa;2,7-dichloronorlichexanthone, arthothelin;lias;;gbif
Lecanora pseudachroa;arthothelin, atranorin, chloroatranorin, isoarthothelin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora pseudargentata;atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora pseudargentata;4-dechlorogangaleoidin, atranorin, chloroatranorin, gangaleoidin, norgangaleoidin (californin);lias;Lecanoraceae;gbif
Lecanora pseudistera;0-methylperlatolic acid, atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora pseudistera;2'-o-methylhyperlatolic acid, 2'-o-methylisohyperlatolic acid, 2'-o-methylperlatolic acid, 2'-o-methylsuperlatolic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora pseudodecorata;arthothelin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora pseudogangaleoides;2'-o-demethylpsoromic acid, atranorin, chloroatranorin, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora pseudogangaleoides;2'-o-demethylpsoromic acid, 2,4-dichloronorlichexanthone, 2,5-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora pseudomellea;pannarin, protolichesterinic acid, psoromic acid, unknown/unidentified pigment(s);lias;Lecanoraceae;gbif
Lecanora pseudosarcopidoides;isousnic acid;lias;Lecanoraceae;gbif
Lecanora pueblae;psoromic acid;lias;Lecanoraceae;gbif
Lecanora pulicaris;atranorin;italic;Lecanoraceae;gbif
Lecanora pulicaris;atranorin, fumarprotocetraric acid, roccellic acid;lias;Lecanoraceae;gbif
Lecanora puniceofusca;2-0-methylperlatolic acid, atranorin;italic;Lecanoraceae;gbif
Lecanora puniceofusca;2'-o-methylperlatolic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora queenslandica;2'-o-demethylpsoromic acid, atranorin, chloroatranorin, psoromic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora quercicola;neousnic acid, unknown/unidentified pigment(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora rabdotoides;4-o-demethylplanaic acid, atranorin, chloroatranorin, hypoprotocetraric acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora reagens;pulvinic acid;italic;Lecanoraceae;gbif
Lecanora rhizinata;usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora rhodi;2-0-methylperlatolic acid, atranorin, chloroatranorin, norstictic acid;italic;Lecanoraceae;gbif
Lecanora rubicunda;atranorin, norstictic acid;italic;Lecanoraceae;gbif
Lecanora rubida;norstictic acid;lias;Lecanoraceae;gbif
Lecanora rufocarnea;atranorin, chloroatranorin, unknown/unidentified fatty acid(s);lias;Lecanoraceae;gbif
Lecanora rugosella;atranorin, gangaleoidin, roccellic acid;lias;Lecanoraceae;gbif
Lecanora rupicola;atranorin, chloroatranorin, eugenitol, roccellic acid, sordidone;lias;Lecanoraceae;gbif
Lecanora rupicola;thiophanic acid;lias;Lecanoraceae;gbif
Lecanora ryanii;2,4-dichloronorlichexanthone, 2,5-dichlorolichexanthone, 4,5-dichlorolichexanthone (coronatone), arthothelin, atranorin, chloroatranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora salicicola;atranorin;italic;Lecanoraceae;gbif
Lecanora salicicola;atranorin, caperatic acid, roccellic acid;lias;Lecanoraceae;gbif
Lecanora saligna;atranorin, isousnic acid, neousnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora salina;2,5-dichlorolichexanthone;lias;Lecanoraceae;gbif
Lecanora sarcopisoides;placodiolic acid, pseudoplacodiolic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora schindleri;atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora schizochromatica;atranorin, paraensic acid c, paraensic acid d, usnic acid;lias;Lecanoraceae;gbif
Lecanora schofieldii;2,5,7-trichlorolichexanthone, 2,7-dichloro-6-o-methylnorlichexanthone, 2,7-dichlorolichexanthone, 2,7-dichloronorlichexanthone, 2-chlorolichexanthone, 7-chloro-6-o-methylnorlichexanthone, 7-chlorolichexanthone;lias;Lecanoraceae;gbif
Lecanora semitensis;isousnic acid, placodiolic acid, unknown/unidentified fatty acid(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora sierrae;isousnic acid, pannarin, psoromic acid, rangiformic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora silvae-nigrae;usnic;italic;Lecanoraceae;gbif
Lecanora silvae-nigrae;protocetraric acid, rangiformic acid;lias;Lecanoraceae;gbif
Lecanora simeonensis;usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora sinuosa;atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora sinuosa;atranorin, gangaleoidin;lias;Lecanoraceae;gbif
Lecanora sonorae;2'-o-demethylpsoromic acid, neodihydromurolic acid, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora soralifera;usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora soralifera;usnic acid;lias;Lecanoraceae;gbif
Lecanora sorediomarginata;3,5-dichloro-2'-o-methylanziaic acid, 3,5-dichloro-2'-o-methylnordivaricatic acid, 3,5-dichloro-2'-o-methylstenosporic acid, 5-chloro-2'-o-methylanziaic acid, atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora sphaerospora;atranorin, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora stenotropa;isorangiformic acid, usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora stenotropa;isorangiformic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora straminea;arthothelin, granulosin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora stramineoalbida;2'-o-methylperlatolic acid, 2'-o-methylstenosporic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora strobilina;squamatic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora strobilinoides;usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subaurea;pannarin, rhizocarpic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora subaurea;epanorin, pannarin, rhizocarpic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subcarnea;atranorin, chloroatranorin, protocetraric acid;italic;Lecanoraceae;gbif
Lecanora subcarnea;atranorin, protocetraric acid;lias;Lecanoraceae;gbif
Lecanora subcarpinea;atranorin, eugenitol, psoromic acid, roccellic acid, sordidone;lias;Lecanoraceae;gbif
Lecanora subcavicola;alectorialic acid, atranorin;lias;Lecanoraceae;gbif
Lecanora subcoarctata;4,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subcrenulata;2'-o-methylperlatolic acid, 4-o-methylhypoprotocetraric acid, 6-o-methylarthothelin, atranorin, chloroatranorin, isonotatic acid, thiophanic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora subflava;2,4-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, atranorin, chloroatranorin, usnic acid;lias;Lecanoraceae;gbif
Lecanora subimmergens;atranorin, chloroatranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subimmersa;atranorin, chloroatranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subimmersa;2,4-dichloronorlichexanthone, 2,5-dichlorolichexanthone, 2-chloronorlichexanthone, 3-o-methylthiophanic acid, 4,5,7-trichloronorlichexanthone (asemone), 5,7-dichloronorlichexanthone, atranorin, chloroatranorin, chodatin, demethylchodatin, thiophanic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subintricata;brialmontin 1, usnic acid;lias;Lecanoraceae;gbif
Lecanora subjaponica;atranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subpinguis;atranorin, chloroatranorin, gyrophoric acid, umbilicaric acid;lias;Lecanoraceae;gbif
Lecanora subpraesistens;atranorin, chloroatranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subravida;isousnic acid, placodiolic acid, squamatic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora subrugosa;atranorin, gangaleoidin, norgangaleoidin (californin), roccellic acid;lias;Lecanoraceae;gbif
Lecanora subsaligna;7-o-methylnorascomatic acid, isousnic acid;lias;Lecanoraceae;gbif
Lecanora substrobilina;4,5-dichloronorlichexanthone, 4-chloronorlichexanthone, arthothelin, norlichexanthone, thiophanic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subsulphurea;atranorin, gyrophoric acid, umbilicaric acid;lias;Lecanoraceae;gbif
Lecanora subtecta;2,5,7-trichloro-3-o-methylnorlichexanthone, isoarthothelin, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subtjibodasensis;2,7-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 4,7-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora subumbrina;2,4-dichloronorlichexanthone, 2,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora subviridis;unknown/unidentified compound(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora sulcata;atranorin, chloroatranorin, isoplacodiolic acid, placodiolic acid;lias;Lecanoraceae;gbif
Lecanora sulfurescens;atranorin, chloroatranorin, chlorolecideoidin, gangaleoidin, leoidin, norgangaleoidin (californin);lias;Lecanoraceae;gbif
Lecanora sulphurea;atranorin, gangaleoidin, usnic acid, zeorin (hopane-6α,22-diol), α-collatolic acid;lias;Lecanoraceae;gbif
