species;substances;substancess_reference;family;family_reference
Anaptychia elbursiana;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Physciaceae;gbif
Anaptychia palmulata;atranorin, variolaric acid;lias;Physciaceae;gbif
Anaptychia runcinata;atranorin, zeorin (hopane-6α,22-diol);lias;Physciaceae;gbif
Anaptychia ulotrichoides;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Physciaceae;gbif
Ancistrosporella psoromica;2'-o-demethylpsoromic acid, psoromic acid;lias;Roccellaceae;gbif
Andreiomyces obtusaticus;norobtusatic acid;italic;Andreiomycetaceae;gbif
Angiactis bermudensis;erythrin, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Angiactis littoralis;gyrophoric acid, lecanoric acid;lias;Roccellaceae;gbif
Angiactis spinicola;erythrin, gyrophoric acid, methyl gyrophorate;lias;Roccellaceae;gbif
Anisomeridium elegans;lichexanthone;lias;Monoblastiaceae;gbif
Anisomeridium phaeospermum;lichexanthone;lias;Monoblastiaceae;gbif
Anisomeridium tuckerae;lichexanthone;lias;Monoblastiaceae;gbif
Anomalographis madeirensis;connorstictic acid, norstictic acid, subnorstictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Anomomorpha aggregans;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Anomomorpha elegans;salazinic acid;lias;Graphidaceae;gbif
Anomomorpha lecanorina;constictic acid;lias;Graphidaceae;gbif
Anomomorpha roseola;neotricone, norperistictic acid, norstictic acid, protocetraric acid, salazinic acid, virensic acid;lias;Graphidaceae;gbif
Anomomorpha sordida;connorstictic acid, lichexanthone, norstictic acid, subnorstictic acid;lias;Graphidaceae;gbif
Anomomorpha subtorquens;neotricone, norstictic acid;lias;Graphidaceae;gbif
Anomomorpha turbulenta;neotricone, norstictic acid;lias;Graphidaceae;gbif
Anzia afromontana;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia americana;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia centrifuga;atranorin, divaricatic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Parmeliaceae;gbif
Anzia colpodes;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia corallophora;anziaic acid, atranorin, caperatic acid;lias;Parmeliaceae;gbif
Anzia dictyorhiza;atranorin, divaricatic acid, nordivaricatic acid;lias;Parmeliaceae;gbif
Anzia endoflavida;anziaic acid, atranorin, secalonic acid a;lias;;gbif
Anzia entingiana;atranorin, chloroatranorin, protocetraric acid, virensic acid;lias;;gbif
Anzia gallowayi;atranorin, chloroatranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia gregoriana;anziaic acid, atranorin, caperatic acid, loxodin;lias;Parmeliaceae;gbif
Anzia isidiolenta;atranorin, chloroatranorin, lobaric acid, unknown/unidentified compound(s);lias;;gbif
Anzia isidiosa;atranorin, chloroatranorin, fumarprotocetraric acid, lobaric acid, loxodin, norlobaridone, protocetraric acid;lias;Parmeliaceae;gbif
Anzia jamesii;4-o-methylhypoprotocetraric acid, anziaic acid, atranorin, chloroatranorin;lias;Parmeliaceae;gbif
Anzia leucobates;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia leucobatoides;atranorin, chloroatranorin, fumarprotocetraric acid, lobaric acid;lias;Parmeliaceae;gbif
Anzia lopezii;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia madagascariensis;atranorin, chloroatranorin, fumarprotocetraric acid, protocetraric acid, stictic acid, unknown/unidentified xanthone(s);lias;Parmeliaceae;gbif
Anzia masonii;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia minor;4-o-demethylnotatic acid, 4-o-methylhypoprotocetraric acid, atranorin, chloroatranorin, hypoprotocetraric acid, isonotatic acid, protocetraric acid, subnotatic acid;lias;Parmeliaceae;gbif
Anzia niuginiensis;4-o-methylhypoprotocetraric acid, anziaic acid, atranorin, chloroatranorin;lias;;gbif
Anzia ornatoides;atranorin, chloroatranorin, fumarprotocetraric acid, lobaric acid, protocetraric acid;lias;;gbif
Anzia parasitica;atranorin, divaricatic acid;lias;Parmeliaceae;gbif
Anzia pseudoangustata;atranorin, caperatic acid, chloroatranorin, lobaric acid, unknown/unidentified compound(s);lias;;gbif
Anzia pseudopustulata;atranorin, caperatic acid, chloroatranorin, lobaric acid, unknown/unidentified compound(s);lias;;gbif
Anzia pustulata;anziaic acid, atranorin, chloroatranorin;lias;;gbif
Anzia semiteres;atranorin, caperatic acid, chloroatranorin, fumarprotocetraric acid, lobaric acid, loxodin, norlobaridone;lias;Parmeliaceae;gbif
Anzia tianjarana;4-o-methylhypoprotocetraric acid, anziaic acid, atranorin, chloroatranorin;lias;Parmeliaceae;gbif
Aquacidia trachona;argopsin;italic;Byssolomataceae;gbif
Architrypethelium hyalinum;lichexanthone;lias;Trypetheliaceae;gbif
Arctoparmelia aleuritica;alectoronic acid, atranorin, chloroatranorin, α-collatolic acid;lias;Parmeliaceae;gbif
Arctoparmelia centrifuga;atranorin, usnic;italic;Parmeliaceae;gbif
