name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Decarboxyhypothamnolic acid,5,x,15,13,x,x,x,15,−,+,?,x,Brown,Brown,362,209,192,191,Purple,P.Red,No Result,No Result,?,?,Occurs in Pertusaria sp.,"Hypothamnolic acid, Thamnolic acid, Lactothamnolic acid","Elix, JA Barclay, CE Wardlaw, JH Archer, AW Sen-hua Yu Kantvilas, G 1999: Four new β-orcinol meta-depsides from Pertusaria and Siphula lichens. Australian Journal of Chemistry 52: 837-840.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxy-2’-O-methyldivaricatic acid,74,x,73,88,x,x,x,53,−,+,?,x,P.Yellow,Green,358,194,193,192,No Result,No Result,No Result,No Result,?,?,Minor constitiuent of Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxynorstenosporic acid,Decarboxystenosporic acid, Depsidellin A, Depsidellin B, Depsidellin C, 2’-O-Methylimbricaric acid","Elix, JA Wardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. AustralianJournal of Chemistry 50: 1145-1150.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxynorimbricaric acid,46,x,53,29,x,x,x,42,−,+,?,x,P.Yellow,Green,358,208,207,163,No Result,Red,No Result,No Result,?,?,Minor constitiuent of Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxydivaricatic acid, Decarboxystenosporicacid, Depsidellin A, Depsidellin B, Depsidellin C, Imbricaric acid","Elix, JA Wardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. AustralianJournal of Chemistry 50: 1145-1150.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxynorstenosporic acid,45,x,45,27,x,x,x,43,−,+,?,x,P.Yellow,Green,358,180,179,178,No Result,Red,No Result,No Result,?,?,Minor constitiuent of Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxydivaricatic acid, Decarboxystenosporicacid, Depsidellin A, Depsidellin B, Depsidellin C, Stenosporic acid","Elix, JA Wardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. AustralianJournal of Chemistry 50: 1145-1150.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxyperlatolic acid,63,x,60,56,x,x,x,55,−,+,?,x,P.Yellow,Green,400,222,221,180,No Result,No Result,No Result,No Result,?,?,Minor constitiuent of Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxynorstenosporic acid,Decarboxystenosporic acid, Depsidellin A, Depsidellin B, Depsidellin C, Perlatolic acid","Elix, JA Wardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. AustralianJournal of Chemistry 50: 1145-1150.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxystenosporic acid,63,x,57,55,x,x,x,51,−,+,?,x,P.Yellow,Green,372,194,193,124,No Result,No Result,No Result,No Result,?,?,Minor constitiuent of Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxynorstenosporic acid, Stenosporic acid,Depsidellin A, Depsidellin B, Depsidellin C","Elix, JA Wardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. AustralianJournal of Chemistry 50: 1145-1150.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Decarboxythamnolic acid,5,25,18,18,x,x,38,7,−,+,?,P.Red,Brown,Brown,376,332,226,209,Yellow,No Result,No Result,Orange,?,?,Occurs in chemotypes of Thamnolia vermicularis,Thamnolic acid,"Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 150.",,,acetyl-polymalonyl pathway,depsides,β-orcinol depsides,
3-Dechlorodiploicin,58,x,53,62,28,x,x,37,−,+,?,x,Grey,Purple,390,388,355,353,No Result,No Result,No Result,No Result,?,?,Occurs in Diploicia canescens,"3-Dechloro-4-O-methyldiploicin, Diploicin, Scensidin","Sala, T Sargent, MV Elix, JA 1981: Depsidone Synthesis. Part 15. New Metabolites of the LichenBuellia canescens (Dicks.) De Not: Novel Phthalide Catabolites of Depsidones. Journal of the ChemicalSociety, Perkin Transactions I: 849-854.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
4-Dechlorogangaleoidin [3-Dechlorogangaleoidin],53,x,31,40,x,x,x,23,−,+,?,x,Orange,Purple,416,414,412,x,No Result,No Result,No Result,No Result,?,?,Minor component in Lecanora argentata,"Norgangaleoidin, Gangaleoidin","Elix, JA Venables, DA Lumbsch, HT Brako, L 1994: Further new metabolites from lichens.Australian Journal of Chemistry 47: 1619-1623.",,3-Dechlorogangaleoidin,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
(+)-Dechlorogriseofulvin,32,x,6,19,x,x,x,5,−,+,?,x,Yellow,Purple,318,180,138,x,No Result,No Result,No Result,No Result,?,?,Occurs in Lecanora griseofulva,?,no reference,,,acetyl-polymalonyl pathway,furans & furanones,spirobenzofuranones,
3´-Dechlorolecideiodin,56,47,40,42,17,x,x,17,−,+,?,x,Orange,Purple,366,364,334,332,No Result,No Result,No Result,No Result,?,?,"Acid Spray: orange, grey halo. Minor component in Tylothalia pahiensis","Gangaleoidin, Lecideoidin","Chester, DO Elix, JA Jones, AJ 1979: Lecideoidin and 3´-dechlorolecideoidin, new depsidones froman Australian Lecidea (lichen). Australian Journal of Chemistry 32: 1857-1861.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
"2-Dechloro-8-O-methylthiomelin [1-Hydroxy-4-chloro-5,8-dimethoxy-6-methylxanthone]",65,x,45,53,35,x,x,64,+,+,?,x,Orange,Orange,322,320,307,305,No Result,No Result,No Result,No Result,?,?,Pale yellow pigment. Minor component in Rinodina thiomela,"4-Dechloro-8-O-methylthiomelin, 4-Dechlorothiomelin, 8-O-Methylthiomelin, Thiomelin","Elix, JA Jiang, H Gaul, KL 1993: The structure and synthesis of some minor xanthones from thelichen Rinodina thiomela. Australian Journal of Chemistry 46: 95-110.",,"1-Hydroxy-4-chloro-5,8-dimethoxy-6-methylxanthone",acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
"4-Dechloro-8-O-methylthiomelin [1-Hydroxy-2-chloro-5,8-dimethoxy-6-methylxanthone]",64,x,39,51,29,x,x,66,+,+,?,x,Orange,Orange,322,320,305,302,No Result,No Result,No Result,No Result,?,?,Pale yellow pigment. Minor component in Rinodina thiomela,"2-Dechloro-8-O-methylthiomelin, 4-Dechlorothiomelin, 8-O-Methylthiomelin, Thiomelin","Elix, JA Jiang, H Gaul, KL 1993: The structure and synthesis of some minor xanthones from thelichen Rinodina thiomela. Australian Journal of Chemistry 46: 95-110.",,"1-Hydroxy-2-chloro-5,8-dimethoxy-6-methylxanthone",acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
3-Dechloro-4-O-methyldiploicin [Dechloro-O-methyldiploicin],74,x,58,83,55,x,x,44,−,+,?,x,P.Grey,Purple,404,402,369,367,No Result,No Result,No Result,No Result,?,?,Best seen under SW UV before spraying. Minor component in Diploicia canescens,"3-Dechlorodiploicin, Diploicin, Scensidin","Sala, T Sargent, MV Elix, JA 1981: Depsidone Synthesis. Part 15. New Metabolites of the LichenBuellia canescens (Dicks.) De Not: Novel Phthalide Catabolites of Depsidones. Journal of the ChemicalSociety, Perkin Transactions I: 849-854.",,Dechloro-O-methyldiploicin,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
Dechloropannarin,73,73,61,75,55,x,x,29,−,+,?,x,Brown,Orange,328,300,285,284,No Result,No Result,No Result,Orange,?,?,"Acid Spray: orange, fades to brown-grey. Occurs in Phyllopsora beuttneri","Nordechloropannarin, Norpannarin, Pannarin","Elix, JA Lajide, L Galloway, DJ 1982: Metabolites from the Lichen Genus Psoroma. AustralianJournal of Chemistry. 35: 2325-2333.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
"2-Dechlorothiomelin [1,8-Dihydroxy-4-chloro-5-methoxy-6-methylxanthone]",79,x,80,85,64,x,x,44,+,+,?,x,No Result,Purple,308,306,293,292,No Result,No Result,No Result,No Result,?,?,Pale yellow pigment. Minor component in Rinodina thiomela,"2-Dechloro-8-O-methylthiomelin, 4-Dechlorothiomelin, 8-O-Methylthiomelin, Thiomelin","Elix, JA Jiang, H Gaul, KL 1993: The structure and synthesis of some minor xanthones from thelichen Rinodina thiomela. Australian Journal of Chemistry 46: 95-110.",,"1,8-Dihydroxy-4-chloro-5-methoxy-6-methylxanthone",acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
"4-Dechlorothiomelin [1,8-Dihydroxy-2-chloro-5-methoxy-6-methylxanthone]",78,x,86,83,61,x,x,46,+,+,?,x,No Result,Purple,308,306,293,292,No Result,No Result,No Result,No Result,?,?,Pale yellow pigment. Minor component in Rinodina thiomela,"4-Dechloro-8-O-methylthiomelin, 2-Dechlorothiomelin, 8-O-Methylthiomelin, Thiomelin","Elix, JA Gaul, KL Sterns, M Samsudun, MW 1987: The structure of the novel lichen xanthone,thiomelin and its congenors. Australian Journal of Chemistry 40: 1169-1178.",,"1,8-Dihydroxy-2-chloro-5-methoxy-6-methylxanthone",acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
2-Dechlorovicanicin,52,x,48,40,22,x,x,34,−,+,?,x,Blue,Purple,364,362,x,x,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale light blue, fades to blue-grey. Minor constituent in chemical race of Pannariasphinctrina","Dechloropannarin, 7-dechlorovicanicin, Hypopannarin, 4-O-Methylvicanicin, Norvicanicin, Pannarin, Vicanicin",New report,,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
7-Dechlorovicanicin,x,x,64,68,61,x,x,36,−,+,?,x,Blue,Purple,364,362,x,x,No Result,No Result,No Result,No Result,?,?,Minor constituent in Lecanora margarodes,"Dechloropannarin, 7-dechlorovicanicin, Hypopannarin, 4-O-Methylvicanicin, Norvicanicin, Pannarin, Vicanicin",New report,,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Dehydrocollatolic acid,54,x,35,48,x,x,x,33,−,+,?,x,P.Yellow,D.Blue,524,506,488,480,No Result,No Result,P.Red,No Result,?,?,Occurs in Neuropogon trachycarpus,"Constipatic acid, Muronic acid, Protoconstipatic acid","Chester, DO Elix, JA 1979: Three new aliphatic acids from lichens of genus Parmelia (subg.Xanthoparmelia). Australian Journal of Chemistry 32: 2566-2569.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
4-O-Demethylbarbatic acid,39,60,54,36,x,x,x,24,−,+,?,Orange,P.Yellow,P.Yellow,346,182,165,164,Red,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. LW UV: purple, pale yellow halo. Minor component in Cladiaaggregata","Barbatic acid, Norobtusatic acid, Obtusatic acid","Huneck, S Follmann, G Santesson, J 1968: 4-O-Desmethylbarbatinsäure, ein neues Depsid ausRamalina subdecipiens Stein. Zeitschrift für Naturforschung 23b: 856-860.",,,acetyl-polymalonyl pathway,depsides,β-orcinol depsides,
Demethylchodatin,46,x,40,34,x,x,x,44,+,+,?,?,Yellow,Orange,394,392,390,377,No Result,Orange,No Result,No Result,?,?,Occurs in Lecidella granulosula,"Chodatin, Isoarthothelin, 2,5,7-Trichloro-3-O-methylnorlichexanthone","Elix, JA Robertson, F Wardlaw, JH Wllis, AC 1994: Isolation and structure determination ofdemethylchodatin - a new lichen xanthone. Australian Journal of Chemistry 47: 2291-2295.",,,acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
"7-Demethylcristazarin [2-Ethyl-3,5,6,8-tetrahydroxynaphtho-1,4-quinone, Norcristazarin]",32,x,48,10,x,x,x,x,+,+,?,?,Purple,Magenta,250,235,232,217,Red,No Result,No Result,No Result,?,?,Occurs in Flavocetraria cucullata,"6-Methylcristazarin, Cristazarin","Krivoshchekova, OE Maximov, OB Stepanenko, LS Mishchenko, NP 1982: Quinones of the lichenCetraria cucullata. Phytochemistry 21: 193-196.",,"2-Ethyl-3,5,6,8-tetrahydroxynaphtho-1,4-quinone, Norcristazarin",acetyl-polymalonyl pathway,quinones,naphthaquinones,
4-O-Demethyldiffractaic acid,34,x,44,31,x,x,x,17,−,+,?,x,P.Yellow,P.Yellow,360,316,269,179,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. LW UV: strong-purple, pale yellow halo. Minor component inXanthoparmelia duplicata",Diffractaic acid,"Elix, JA Chester, DO Gaul, KL Parker, JL Wardlaw, JH 1989: The identification of further lichenβ-orcinol para-depsides, Australian Journal of Chemistry 42: 1191-1199.",,,acetyl-polymalonyl pathway,depsides,β-orcinol depsides,
4-O-Demethylglomellic acid,22,x,20,11,x,x,48,12,−,+,?,x,Orange,B.Blue,-1,238,221,220,No Result,Red,No Result,No Result,?,?,Minor component in Xanthoparmelia loxodella,"4-O-Demethylglomelliferic acid, Glomellic acid, Glomelliferic acid","Elix, JA Whitton, AA 1989: Synthesis of the Lichen depsides, glomelliferic acid, loxodellic acid,glomellic acid, their 4-O-demethyl analogues and oxostenosporic acid. Australian Journal of Chemistry 42:1969-1981.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylglomelliferic acid,29,x,36,21,x,x,52,20,−,+,?,x,Orange,B.Blue,-1,224,221,220,No Result,Red,No Result,No Result,?,?,Minor component in Xanthoparmelia loxodes,"4-O-Demethylglomellic acid, Glomellic acid, Glomelliferic acid","Elix, JA Whitton, AA 1989: Synthesis of the Lichen depsides, glomelliferic acid, loxodellic acid,glomellic acid, their 4-O-demethyl analogues and oxostenosporic acid. Australian Journal of Chemistry 42:1969-1981.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylgrayanic acid,41,x,21,18,x,x,x,41,−,+,?,x,P.Brown,P.Brown,-1,356,328,x,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale orange brown, fades to pale orange. LW UV: strong-pale brown, bluish halo.Minor component in Cladonia grayi, Neophyllis melacarpa","Congrayanic acid, Grayanic acid, Melacarpic acid","Culberson, CF Culberson, WL Johnson, A 1985: Orcinol-type depsides and depsidones in thelichens of the Cladonia chlorophea group (Ascomycotina, Cladoniaceae). Bryologist 88: 380-387.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
4-O-Demethylimbricaric acid,35,x,57,32,x,x,x,29,−,+,?,x,P.Yellow,Green,-1,224,196,179,No Result,Red,No Result,No Result,?,?,"Acid Spray: strong-pale yellow, grey halo. Minor component in Cetrelia sanguinea","Anziaic acid, Imbricaric acid","Culberson, CF Culberson, WL 1976: Chemosyndromic variation in lichens. Systematic Botany 1:325-329.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Demethylleprapinic acid,x,x,x,7,9,x,x,x,+,+,?,x,P.Yellow,Orange,435,290,145,x,No Result,No Result,No Result,No Result,?,?,Intense yellow pigment. Occurs in Lepraria sp.,Leprapinic acid,"Appa Rao, AVN Rao, PS Huneck, S 1984: Isolation of demethylleprapinic acid from Lepraria spec.Fitoterapia: 242-243.",,,shikimic acid pathway,pulvinic acid derivatives,pulvinic acid derivatives,
4-O-Demethylloxodellic acid,23,x,34,18,x,x,49,14,−,+,?,x,Orange,B.Blue,-1,310,221,220,No Result,Red,No Result,No Result,?,?,Minor component in Xanthoparmelia loxodes,"4-O-Demethylglomelliferic acid, Glomellic acid, Glomelliferic acid,Loxodellic acid","Elix, JA Whitton, AA 1989: Synthesis of the Lichen depsides, glomelliferic acid, loxodellic acid,glomellic acid, their 4-O-demethyl analogues and oxostenosporic acid. Australian Journal of Chemistry 42:1969-1981.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylmicrophyllinic acid,32,x,31,16,x,x,49,23,−,+,?,x,Orange,B.Blue,478,426,338,248,No Result,Red,No Result,No Result,?,?,"Acid Spray: pale orange, grey halo. SW UV: fluorescence bright blue before spraying.Occurs in Parmotrema demethylmicrophyllinicum","Anziaic acid, Microphyllinic acid, Olivetoric acid","Elix, JA Jayanthi, VK 1987: The isolation and synthesis of the lichen depside, 4-O-demethylmicrophyllinic acid. Australian Journal of Chemistry 40: 1851-1859.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylnotatic acid [Nornotatic acid],16,38,35,14,x,x,46,11,−,+,?,x,Orange,D.Blue,330,312,286,284,No Result,Red,No Result,No Result,?,?,"Acid Spray: pale orange, grey halo. Occurs in Ocellularia actinota","Hypoprotocetraric acid, Norisonotatic acid, Notatic acid","Culberson, CF Hale, ME 1973: 4-O-Demethylnotatic acid, a new depsidone in some lichensproducing hypoprotocetraric acid. Bryologist 76: 77-84.",,Nornotatic acid,acetyl-polymalonyl pathway,depsidones,orcinol β-orcinol depsidones,
"4-O-Demethylplanaic acid [2,2´-Di-O-methylanziaic acid]",42,32,29,33,x,x,x,24,−,+,?,D.Red,Orange,Green,-1,238,221,196,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale orange, grey halo. LW UV: pale brown, green halo. Occurs in Lecidea plana","2´-O-Methylperlatolic acid, Planaic acid","Huneck, S Schmidt, J 1995: Neue Flechtenanalysen aus verschiedenen Verwandsschaftskreisen. In ´´FlechtenFollmann´´, Geobotanical and Phytotaxonomical Study Group, University of Cologne, Germany: 24-41.",,"2,2´-Di-O-methylanziaic acid",acetyl-polymalonyl pathway,depsides,orcinol depsides,
"2’-O-Demethylpsoromic acid [Conpsoromic acid, Neopsoromic acid]",15,36,39,12,x,x,46,13,−,+,?,Red-violet,Brown,Brown,344,300,272,179,No Result,No Result,No Result,Yellow,?,?,Minor component in Usnea inermis,"Psoromic acid, Subpsoromic acid","Keogh, MF 1976: 2’-O-Demethylpsoromic acid from Usnea sp. Phytochemistry 15: 1801.",,"Conpsoromic acid, Neopsoromic acid",acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
3-O-Demethylscensidin,60,x,52,53,28,x,x,23,−,+,?,x,No Result,D.Purple,358,356,354,328,No Result,No Result,No Result,No Result,?,?,Best seen under SW UV before spraying. Minor component in Diploicia canescens,"3-Dechloro-4-O-methyldiploicin, Diploicin, Isofulgidin, Scensidin","Elix, JA Jenkins, GA Venables, DA 1990: New chlorine-containing depsidones from lichens. AustralianJournal of Chemistry 43: 197-201.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
3-O-Demethylschizopeltic acid,34,x,29,41,x,x,x,14,−,+,?,x,Blue-grey,D.Purple,344,312,284,156,No Result,No Result,No Result,No Result,?,?,Occurs in Roccella hypomecha,"Pannaric acid, Schizopeltic acid","Huneck, S Elix, JA Naidu, R Follmann, G 1993: 3-O-Demethylschizopeltic acid, a newdibenzofuran from the lichen Roccella hypomecha. Australian Journal of Chemistry 46: 407-410.",,,acetyl-polymalonyl pathway,furans & furanones,dibenzofurans,
4´-O-Demethylsekikaic acid,40,41,52,36,x,x,x,21,−,+,?,x,Orange-grey,Green,-1,212,210,193,P.Red,Red,No Result,No Result,?,?,"Acid Spray: strong-pale yellow-orange, grey halo. Occurs in Ramalina americana","Homosekikaic acid, Ramalinolic acid, Sekikaic acid","Culberson, CF Culberson, WL Johnson, A 1990: The Ramalina americana complex (Ascomycotina,Ramalinaceae): chemical and geographical correlations. Bryologist 93: 167-186.",,,acetyl-polymalonyl pathway,depsides,orcinol m-depsides,
4-O-Demethylsphaerophorin,38,x,57,33,x,x,x,33,−,+,?,x,Orange,Green,-1,208,150,137,No Result,Red,No Result,No Result,?,?,"Acid Spray: pale orange, grey halo. LW UV: purple, green halo. Occurs in Bunodophoron melacarpum","Isosphaeric acid, Sphaerophorin","Elix, JA Wardlaw, JH 1987: Synthesis of lichen para-sphaerophorol depsides. Australian Journal ofChemistry 40: 425-429.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylsquamatic acid [Consquamatic acid],3,x,1,3,x,x,x,x,−,+,?,Red,Grey,Green,x,x,x,x,No Result,Red,No Result,No Result,?,?,Occurs in Cladonia capitellata var. squamatica,Squamatic acid,"Archer, AW 1992: Cladoniaceae. Flora of Australia 54: 107-151.",,Consquamatic acid,acetyl-polymalonyl pathway,depsides,β-orcinol depsides,
4-O-Demethylstenosporic acid,44,54,x,32,x,x,x,28,−,+,?,x,P.Yellow,Green,-1,224,206,196,No Result,Red,No Result,No Result,?,?,Occurs in Xanthoparmelia pokornyi,"Anziaic acid, Divaricatic acid, Nordivaricatic acid, Stenosporic acid","Culberson, CK Culberson, WL Esslinger, TL 1977: Chemosyndromic variation in the Parmeliapulla group. Bryologist 80: 125-135.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
4-O-Demethylsuperconfluentic acid,41,x,37,30,x,x,x,38,−,+,?,x,Yellow,B.Blue,-1,277,276,266,No Result,Pink,Red,No Result,?,?,"Occurs in Stirtonia ramosa, Porpidia glaucophaea","Glaucophaeic acid, 2’-O-Methylnorsuperphyllinic acid, Insignin,Superconfluentic acid","Elix, JAWardlaw, JH 1996: Synthesis of depsides present in the lichen Porpidia glaucophaea.Australian Journal of Chemistry 49: 817-924.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Demethylvioxanthin,25,x,4,18,x,x,x,17,+,+,?,x,Green-brown,Yellow,x,x,x,x,Red,No Result,No Result,No Result,?,?,Yellow-green pigment. Occurs in Buellia vioxanthina,"Pigmentosin A, Vioxanthin",New Report,,,acetyl-polymalonyl pathway,naphthopyrones,naphthopyrone,
Deoxylichesterinic acid,55,x,50,57,x,x,x,38,−,−,?,x,P.Brown,Lilac,308,290,264,x,No Result,No Result,No Result,No Result,?,?,Occurs in Rinodina intermedia,Lichesterinic acid,"Mayrhofer, H Sheard, JW Grassier, MC Elix, JA 2001: Rinodina intermedia Bagl.(Physciaceae, lichenized Ascomycetes): A well characterised species with submuriform ascospores.Bryologist 104: 456-463.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Deoxystictic acid [Stictinolide],x,x,x,33,x,x,x,14,−,+,?,x,Orange,Orange,370,342,x,x,Yellow,No Result,No Result,Orange,?,?,reported to occur in Hypotrachyna revoluta [but possibly a misdetermination of Parmotrema perlatum],"Connorstictic acid, Constictic acid, Cryptostictic acid, Menegazziaic acid,Methyl stictic acid, Norstictic acid, Stictic acid","Papadopoulou, P Tzakou, O Vagias, C Kefalas, P Roussis, V 2007: β-Orcinol metabolites from thelichen Hypotrachyna revoluta. Molecules 12: 997-1005.",,Stictinolide,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Depsidellin A,77,x,69,91,x,x,x,65,−,+,?,x,P.Yellow,Green,564,194,193,124,No Result,No Result,No Result,No Result,?,?,Occurs in Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxydivaricatic acid, Decarboxystenosporicacid, Depsidellin B, Depsidellin C","Elix, JAWardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. Australian Journalof Chemistry 50: 1145-1150.",,,,depsides,orcinol tridepsides,
Depsidellin B,47,x,42,32,x,x,x,60,−,+,?,x,P.Yellow,Green,592,386,208,207,No Result,Red,No Result,No Result,?,?,Minor component in Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxydivaricatic acid, Decarboxystenosporicacid, Depsidellin A, Depsidellin C","Elix, JAWardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. Australian Journalof Chemistry 50: 1145-1150.",,,,depsides,orcinol tridepsides,
Depsidellin C,59,x,49,53,x,x,x,63,−,+,?,x,P.Yellow,Green,578,227,208,207,No Result,P.Red,No Result,No Result,?,?,Minor component in Xanthoparmelia depsidella,"Decarboxyanziaic acid, Decarboxydivaricatic acid, Decarboxystenosporicacid, Depsidellin A, Depsidellin B","Elix, JAWardlaw, JH 1997: New depsides from the lichen Neofuscelia depsidella. Australian Journalof Chemistry 50: 1145-1150.",,,,depsides,orcinol tridepsides,
Desmethylhybocarpone [Norhybocarpone],6,x,35,5,x,x,x,22,+,+,?,x,Brown,Brown,516,250,x,x,Red,No Result,No Result,No Result,?,?,Orange pigment. Occurs in Heterodermia hybocarponica,"Hybocarpone, 7-Demethylcristazarin","Ernst-Russell, MA Elix, JA Chai, CLL Willis, AC Nash, TH III 1999: Hybocarpone, a novelcytotoxic naphthazarin derivative from mycobiont cultures of the lichen Lecanora hybocarpa. TetrahedronLetters 40: 6321-6324.",,Norhybocarpone,acetyl-polymalonyl pathway,quinones,naphthaquinone,
"3β,25-Diacetoxy-20,24-epoxydammarane [Diacetyl-12-deoxypyxinol]",x,x,x,85,70,x,90,x,−,−,?,x,Purple,Green,-1,529,484,383,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine endochrysina,"3β,25-Diacetoxy-20,24-epoxydammarane, 3β,25-Diacetoxy-20,24-epoxydammarane-12β-ol, 20,24-Epoxydammarane-3β,12β,25-triol, Methyl 3-O-acetoxypyxinate, Methylpyxinate","Yosioka, I Yamauichi, H Kitagawa, I 1972: Lichen triterpenoids. V. On the neutral triterpenes ofPyxine endochrysina Nyl., Chemical and Parmaceutical Bulletin (Tokyo) 20: 502-513",,Diacetyl-12-deoxypyxinol,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"3β,25-Diacetoxy-20,24-epoxydammarane-12β-ol [Diactylpyxinol]",x,x,x,45,19,x,48,x,−,−,?,x,Purple,Green,-1,545,500,485,No Result,No Result,No Result,No Result,?,?,"Occurs in Pyxine endochrysina, P. sorediata","3β-Acetoxy-20,24-epoxydammarane-12β,25-diol, 3β,25-Diacetoxy-20,24-epoxydammarane, 20,24-Epoxydammarane-3β,12β,25-triol, Methyl 3-O-acetoxypyxinate, Methyl pyxinate","Yosioka, I Yamauichi, H Kitagawa, I 1972: Lichen triterpenoids. V. On the neutral triterpenes ofPyxine endochrysina Nyl., Chemical and Parmaceutical Bulletin (Tokyo) 20: 502-513",,Diactylpyxinol,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"6α,16β-Diacetoxyhopane-22-ol",50,x,37,40,4,x,45,x,−,−,?,x,P.Brown,P.Yellow,544,484,466,426,No Result,No Result,No Result,No Result,?,?,"Occurs in Heterodermia tremulans, Myelochroa entotheiochroa","6α-Acetoxyhopane-16β,22-diol, 16β-Acetoxyhopan-6α,22-diol Hopane-6α,22-diol [Zeorin], Hopane-6α,16β,22-triol [Leucotylin]","Elix, JA Whitton, AA Jones, AJ 1982: Triterpenes from the lichen genus Physcia, Austrlian Journalof Chemistry 35: 641-647.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"3β,22α-Diacetoxystictane",x,x,x,85,x,x,x,x,−,−,?,x,P.Brown,Orange,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Pseudocyphellaria coronata,"3β-Acetoxystictane-22α-ol, Stictane-3β,22α-diol","Chin, WJ Corbett, RE Heng, CK Wilkins, AL 1973: Lichen and fungi. Part XI. triterpenoids. IV.Isolation and structural elucidation of a new group of triterpenes from Sticta coronata, S. colensoi, and S.flavicans, Journal of the Chemical Society, Perkin Transactions I: 1437-1446.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
