name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Norlobariol,12,x,18,1,5,x,x,11,−,+,?,x,Grey,B.Blue,416,398,372,330,No Result,Red,No Result,No Result,?,?,Acid Spray: pale grey fades to strong-dull green. Occurs in Xanthoparmelia scabrosa,"Isonorlobaridone, Norlobaridone, Norlobariol methyl ester","Gream, GE Riggs, NV 1960: Chemistry of Australian lichens II. A new depsidone from Parmeliaconspersa (Ehrh.) Ach.. Australian Journal of Chemistry 13: 285-295. Foo, LY Gwyn, SA 1978: Theidentification of norlobariol, a new lichen constituent from Xanthoparmelia scabrosa (Taylor) Hale. Experientia34: 970-971.",,,acetyl-polymalonyl pathway,diphenyl ethers,diphenyl ethers,
Norlobariol methyl ester [Norlobariol methyl pseudoester],28,x,23,3,10,x,x,16,−,+,?,x,Grey,B.Blue,430,398,370,342,No Result,Red,No Result,No Result,?,?,Acid Spray: pale grey fades to strong-dull green. Occurs in Xanthoparmelia scabrosa,"Isonorlobaridone, Norlobaridone, Norlobariol","Gream, GE Riggs, NV 1960: Chemistry of Australian lichens II. A new depsidone from Parmeliaconspersa (Ehrh.) Ach.. Australian Journal of Chemistry 13: 285-295. Elix, JA Johnston, J Armstrong, PM1986: A revision of the lichen genus Xanthoparmelia in Australasia. Bulletin of the British Museum (NaturalHistory), Botany series 15: 163-362.",,Norlobariol methyl pseudoester,acetyl-polymalonyl pathway,diphenyl ethers,diphenyl ethers,
Normiriquidic acid,31,x,38,23,x,x,x,21,−,+,?,x,Green,Green,-1,220,207,180,No Result,Red,No Result,No Result,?,?,"Acid Spray: light yellow-green, grey halo; eventually fades to bright turquoise. Occurs in Lecidealeucophaea",Miriquidic acid,"Elix, JA Jayanthi, VK 1986: Synthesis of the lichen depsides miriquidic acid and normiriquidic acid.Australian Journal of Chemistry 39: 791-797.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Norobtusatic acid,27,50,48,30,x,x,x,18,−,+,?,x,Yellow,Green,332,182,168,165,No Result,Red,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Hypotrachyna chicitae","Barbatic acid, 4-O-Demethylbarbatic acid, Obtusatic acid","Culberson, CF Hale, ME 1973: Chemical and morphological evolution in Parmelia sect.Hypotrachyna: product of ancient hybridization? Brittonia 25: 162-163.",,,acetyl-polymalonyl pathway,depsides,orcinol β-orcinol depsides,
Norpannarin,51,x,48,42,21,x,x,27,−,+,?,x,Grey,Brown,350,348,215,213,No Result,No Result,No Result,Orange,?,?,Occurs in Erioderma chilense,"Argopsin, Dechloropannarin, Norargopsin, Nordechloropannarin,Pannarin","Elix, JA Jenie, UA Arvidsson, L Jørgensen, PM 1986: New depsidones from the lichen genusErioderma. Australian Journal of Chemistry 39: 719-722.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Norperistictic acid,2,x,12,3,x,x,x,4,-,+,?,No Result,Yellow,Yellow,388,370,357,344,No Result,No Result,No Result,No Result,?,?,"Occurs in Phaeographis neotricosa, Ph. syngraphizans","Neotricone, Norstictic acid, Peristictic acid","Elix, JA Kalb, K Wardlaw, JH 2003: Neotricone and norperistictic acid, two new depsidones fromthe lichen genus Phaeographis. Australian Journal of Chemistry 56: 315-317.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Norrangiformic acid,10,x,36,x,x,x,x,x,−,−,?,x,No Result,No Result,354,336,318,308,No Result,No Result,No Result,No Result,?,?,Best seen on plate after spraying but before charring. Occurs in Cladonia mitis,"Norrangiformic acidA: 10      B: x    B´: 36          C: x       E: x        F: x       G: xHPLC: xV: −                          UV: −Acid Spray: No Result                          LW UV: No ResultArchers: xK: No Result  C: No Result            KC: No Result        PD: No ResultMass Spectrum: 354, 336, 318, 308Substance Class: Aliphatic acids","Huneck, S 1982: (+)-Isorangiformic acid, a lichen substance from Lecanora stenotropa.Phytochemistry 21: 2407-2408.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Norrussulone,x,x,x,30,x,x,x,29,+,+,?,x,P.Red,Pink,338,323,309,x,Purple,No Result,No Result,No Result,?,?,Red pigment. Occurs in Ramboldia laeta,Russulone,New report,,,acetyl-polymalonyl pathway,quinones,anthraquinones,
Norsolorinic acid,55,x,66,41,19,x,x,46,+,+,?,x,Orange,Pink,370,352,327,299,Purple,No Result,No Result,No Result,?,?,Orange-red pigment. Occurs in Solorina crocea,"Averythrin, 6-O-Methylaverythrin, Solorinic acid","Steglich, W Jedtke, K-F 1976: Neue Anthachinonfarbstoffe aus Solorina crocea. Zeitschrift fürNaturforschung 31C: 197-198.",,,acetyl-polymalonyl pathway,quinones,anthraquinones,
Norstictic acid,40,29,32,30,x,x,57,12,−,+,?,No Result,Yellow,Orange,372,354,179,177,Red / Orange C,No Result,No Result,Yellow,?,?,Occurs in Xanthoparmelia substrigosa,"Connorstictic acid, Consalazinic acid, Hyposalazinic acid, Peristictic acid,Protocetraric acid, Salazinic acid, Stictic acid","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 156. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 343.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Northiomelin,69,x,70,72,47,85,x,34,+,+,?,No Result,Yellow,Yellow,330,328,326,205,No Result,No Result,No Result,No Result,?,?,Pale yellow pigment. Minor component in Rinodina thiomela,"2-Dechloro-8-O-methylthiomelin, 2-Dechlorothiomelin, 4-Dechlorothiomelin, 8-O-Methylthiomelin, Thiomelin","Elix, JA Jiang, H Gaul, KL 1993: The structure and synthesis of some minor xanthones from thelichen Rinodina thiomela. Australian Journal of Chemistry 46: 95-110.",,,acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
Norvicanicin,68,55,58,63,36,x,x,23,−,+,?,x,Green,Purple,370,368,335,333,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale blue-green, fades to grey. LW UV: purple, green halo. Occurs in a chemical race ofPannaria sphinctrina","Isovicanicin, Norpannarin, Vicanicin","Sargent, MV Vogel, P Elix, JA Ferguson, BA 1976: Depsidone synthesis VII. Vicanicin andnorvicanicin, Australian Journal of Chemistry 29, 2263-2269.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
